Id;lloc_de_gravacio;Nom_fitxer;YouTube_logotips;Incrustació_logotips;adreca_html;grup_edat;data_enregistrament;codi_informant;Activitat;Etiquetes;Gènere discursiu;;;;;;;;;;;;;;;
50;2;CORPUS 00007 CS;https://youtu.be/WHeQifORzLw;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/WHeQifORzLw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/ODxu9tg1F3k;51-80 anys;15/11/2014;CS;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
51;1;CORPUS 00002 DT G 130830;https://youtu.be/YVck8E6QYyY;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/YVck8E6QYyY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/t3qjFxmR2Yo;51-80 anys;30/8/2013;DT;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
52;1;CORPUS 00003 DT G 130830;https://youtu.be/a7Gj3Y1r0vA;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/a7Gj3Y1r0vA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/jceBqvrxMHg;51-80 anys;30/8/2013;DT;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
53;2;CORPUS 00007 BN G 141115;https://youtu.be/kNqhDrf08Y4;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/kNqhDrf08Y4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/rkK1aQoKP4s;51-80 anys;15/11/2014;BN;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
54;4;CORPUS 00007 GQ;https://youtu.be/LIDUi8E4ZGw;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/LIDUi8E4ZGw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/L24BODdi7L0;31-50 anys;1/11/2015;GQ;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
55;4;CORPUS 00007 QN;https://youtu.be/woKWRxdfXJw;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/woKWRxdfXJw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/HSBl7IX608g;31-50 anys;1/11/2015;QN;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
56;3;CORPUS 00007 GR;https://youtu.be/Ez9XbwSrYF0;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/Ez9XbwSrYF0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/6GSVGukN4JM;51-80 anys;20/12/2015;GR;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
57;3;CORPUS 00007 KT;https://youtu.be/Ttb8eF2AU3I;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/Ttb8eF2AU3I"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/1yW2yuEmbG8;51-80 anys;20/12/2015;KT;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
58;5;CORPUS 00007 KN;https://youtu.be/_-Z5Zi9TV8Y;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/_-Z5Zi9TV8Y"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/gYRI0RgUz_w;31-50 anys;23/9/2016;KN;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
59;5;CORPUS 00007 NT;https://youtu.be/l9sVYkIBemI;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/l9sVYkIBemI"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/u18Q9w6Thzc;31-50 anys;23/9/2016;NT;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
60;5;CORPUS 00007 TD;https://youtu.be/YMEVflOPk8o;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/YMEVflOPk8o"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/YrJO81hYBeY;51-80 anys;20/9/2016;TD;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
